Video Name,Action_x,Video Category,Experience Level,Age Group,Video Upload Date,Gender,Likes,Views,Video Length,Region,Link,CONTAINS PERSON,Gen AI Used,#1 tool,#2 tool,#3 tool,#1 tool time,#2 tool time,#3 tool time
10 Photoshop Features Every Graphic Designer Should Know,Zoom -> Note -> Line -> Pen -> Line -> Crop -> Line -> Pen -> Slice -> Move -> Pen -> Move -> Pen -> Line -> Pen -> Slice -> Pen -> Slice -> Ruler -> Slice -> Pen -> Rectangle -> Line -> Ellipse -> Pen -> Ellipse -> Pen -> Ellipse -> Note -> Ellipse -> Pen -> Ellipse -> Crop -> Pen -> Ellipse -> Pen -> Ellipse -> Pen -> Ellipse -> Pen -> Ellipse -> Pen -> Ellipse -> Pen -> Ellipse -> Note -> Ellipse -> Pen -> Ellipse -> Direct Selection -> Ellipse -> Note -> Line -> Ellipse -> Line -> Brush -> Quick Selection -> Brush -> Line -> Brush -> Line -> Ellipse -> Blur -> Pen -> Rectangle -> Count -> Pen -> Rectangle -> Count -> Rectangle -> Pen -> Gradient -> Pen -> Crop -> Pen -> Count -> Move -> Pen -> Count -> Zoom -> Pen -> Line -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Blur,Graphic Designing,Intermediate,Young,27/1/2017,Male,8800.0,417405.0,47.0,US,https://www.youtube.com/watch?v=FJsSWdnQEs4&list=PLIke35aX3K3mWRpD98Xs5qvOGbDGXCJmW&index=1,,,Pen,Ellipse,Slice,789,449,291
3D Type stack ｜ Introduction to 3D in Adobe Photoshop ｜ Part 2,Line -> Pen -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Brush -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Pen -> Polygon -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Pen -> Line -> Pen -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Pen -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Pen -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Move -> Line -> Pen -> Line -> Pen -> Line -> Blur -> Line -> Polygon -> Line -> Polygon -> Pen -> Polygon -> Pen -> Blur -> Line -> Polygon -> Line -> Polygon -> Line -> Polygon -> Line -> Polygon -> Pen -> Blur -> Polygon -> Pen -> Polygon -> Line -> Polygon -> Pen -> Polygon -> Blur -> Polygon -> Dodge -> Polygon -> Burn -> Polygon -> Pen -> Polygon -> Pen -> Polygon -> Pen -> Polygon,3D Mockups,Beginner,Young,,Male,,,,UK,,,,Line,Polygon,Move,919,397,247
A Basic Introduction to Illustration in Photoshop with Aaron Blaise (Great Tutorial for Beginners),Line -> Pen -> Eraser -> Hand -> Pen -> Brush -> Burn -> Pen -> Brush -> Pen -> Brush -> Move -> Color Replacement -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Note -> Brush -> Pen -> Eraser -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Eraser -> Pen -> Brush -> Pen -> Hand -> Brush -> Eraser -> Pen -> Brush -> Pen -> Brush -> Eraser -> Brush -> Eraser -> Pen -> Eraser -> Brush -> Eraser -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Hand -> Pen -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush,Digital Painting,Beginner,Middle -aged,3/10/2015,Male,2300.0,980665.0,72.0,US,,,,Brush,Pen,Line,1670,1573,469
Adobe Dimension Tutorial ｜ 3D Mockups for Beginners,Gradient -> Move -> Hand -> Pen -> Hand -> Pen -> Hand -> Gradient -> Pen -> Hand -> Line -> Pen -> Line -> Pen -> Object Selection -> Pen -> Object Selection -> Pen -> Note -> Pen -> Zoom -> Line -> Zoom -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Crop -> Gradient -> Crop -> Gradient -> Move -> Gradient -> Pen -> Crop -> Pen -> Zoom -> Pen,3D Mockups,Beginner,Young,,Male,,,,UK,,,,Pen,Gradient,Zoom,339,96,41
Advanced 3D Typography Effects PART 1 Photoshop CC (How to Create Amazing Text with Mixer Brush),Pen -> Gradient -> Marquee -> Gradient -> Brush -> Note -> Brush -> Pen -> Brush -> Pen -> Move -> Pen -> Brush -> Quick Selection -> Brush -> Gradient -> Delete Anchor Point -> Pen -> Zoom -> Move -> Zoom -> Path Selection -> Brush -> Slice -> Gradient -> Brush -> Pen -> Brush,Graphic Designing,Expert,Young,21/02/2017,Male,12000.0,371508.0,20.0,US,https://www.youtube.com/watch?v=d8yH8frsofo&list=PLIke35aX3K3nsDFzWe_DfF1573O9kjXzJ&index=7,,,Brush,Gradient,Pen,375,217,138
Advanced Digital Painting Techniques in Photoshop ｜ Yash ｜ KGF,Gradient -> Pen -> Gradient -> Smudge -> Gradient -> Blur -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Pen -> Brush -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Brush -> Pen -> Gradient -> Pen -> Gradient -> Count -> Brush -> Pen -> Gradient -> Pen -> Move -> Gradient -> Move -> Brush -> Gradient -> Move -> Gradient -> Move -> Gradient -> Move -> Gradient -> Move -> Brush -> Gradient -> Move -> Gradient,Digital Painting,Expert,Young,,Male,,,,UK,,,,Gradient,Brush,Pen,371,117,32
Advanced Photoshop Techniques ｜ FREE COURSE,Pen -> Count -> Pen -> Count -> Brush -> Move -> Line -> Pen -> Object Selection -> Magic Wand -> Rectangle -> Brush -> Move -> Pen -> Brush -> Pen -> Count -> Pen -> Gradient -> Dodge -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Zoom -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Move -> Pen -> Gradient -> Line -> Gradient -> Dodge -> Eraser -> Pen -> Gradient -> Pen -> Zoom -> Pen -> Gradient -> Dodge -> Gradient -> Dodge -> Pen -> Zoom -> Gradient -> Pen -> Gradient -> Pen -> Dodge -> Gradient -> Zoom -> Pen -> Line -> Pen -> Gradient -> Eraser -> Line -> Gradient -> Brush -> Pen -> Brush -> Pen -> Zoom -> Brush -> Zoom -> Pen -> Brush -> Gradient -> Zoom -> Gradient -> Pen -> Gradient -> Pen -> Hand -> Line -> Hand -> Brush -> Hand -> Blur -> Dodge -> Blur -> Pen -> Blur -> Pen -> Rectangle -> Blur -> Rectangle -> Blur -> Rectangle -> Note -> Rectangle -> Pen -> Rectangle,Retouching,Expert,Young,,Female,,,,UK,,,,Pen,Gradient,Dodge,834,440,314
Advanced Photoshop for Everyone ｜ FREE COURSE,Pen -> Note -> Gradient -> Ruler -> Gradient -> Crop -> Pen -> Dodge -> Blur -> Brush -> Sponge -> Smudge -> Brush -> Pen -> Brush -> Smudge -> Pen -> Brush -> Pen -> Sponge -> Brush -> Pen -> Dodge -> Brush -> Smudge -> Eraser -> Brush -> Count -> Brush -> Blur -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Smudge -> Pencil -> Brush -> Sponge -> Pen -> Brush -> Pen -> Dodge -> Zoom -> Brush -> Zoom -> Pen -> Zoom -> Brush -> Dodge -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Line -> Dodge -> Line -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Line -> Pen -> Crop -> Pen -> Count -> Zoom -> Pen -> Line -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Brush -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Line -> Zoom -> Pen -> Gradient -> Brush -> Dodge -> Pen -> Brush -> Pen -> Dodge -> Line -> Dodge -> Burn -> Brush -> Burn -> Zoom -> Pen -> Zoom -> Gradient -> Zoom -> Gradient -> Zoom -> Brush -> Pen -> Brush -> Zoom -> Brush -> Line -> Zoom -> Brush -> Pen -> Brush -> Zoom -> Brush -> Pen -> Brush -> Pen -> Brush -> Line -> Dodge -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Line -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Zoom -> Pen -> Brush -> Pen -> Zoom -> Dodge -> Pen -> Dodge -> Pen -> Dodge -> Brush -> Gradient -> Brush -> Pen -> Zoom -> Blur -> Brush -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Brush -> Zoom -> Brush -> Zoom -> Brush -> Zoom -> Brush -> Pen -> Zoom -> Brush -> Pen -> Brush -> Pen -> Brush -> Zoom -> Brush -> Pen -> Zoom -> Pen,Retouching,Expert,Young,,Female,,,,UK,,,,Pen,Brush,Zoom,1671,966,685
Advanced lighting techniques for Blender ｜ How to create a realistic product mockup in Blender,Pen -> Line -> Pen -> Note -> Pen -> Crop -> Move -> Crop -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Line -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Line -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Line -> Move -> Pen -> Move -> Line -> Move -> Pen -> Move -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Move -> Pen -> Move -> Line -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Line -> Pen -> Line -> Pencil -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pencil -> Crop -> Pencil -> Line -> Zoom -> Pencil -> Crop -> Line -> Pen -> Line -> Move -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Pencil -> Pen -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Pen -> Pencil -> Line -> Pencil -> Pen -> Pencil -> Line -> Pen -> Burn -> Pencil -> Line -> Patch -> Pencil -> Pen -> Line -> Pencil -> Pen -> Pencil -> Crop -> Pencil -> Line -> Pencil -> Crop -> Pen -> Pencil -> Line -> Crop -> Pencil -> Line -> Pencil -> Pen -> Pencil -> Line -> Note -> Pencil -> Pen -> Pencil -> Line -> Pencil -> Pen -> Pencil -> Pen -> Pencil -> Pen -> Pencil -> Line -> Pen -> Pencil -> Line -> Pencil -> Line -> Pencil -> Pen -> Move -> Pen -> Pencil -> Line -> Pencil -> Pen -> Line -> Pencil -> Pen -> Line -> Pencil -> Pen -> Note -> Pen -> Pencil -> Line -> Pencil -> Pen -> Pencil -> Pen -> Pencil -> Line -> Note -> Pencil -> Pen -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Pen -> Pencil -> Pen -> Pencil -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Line -> Pencil -> Slice -> Pencil -> Line -> Pen -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pen -> Pencil -> Line -> Pencil -> Line -> Pencil -> Line -> Pencil -> Pen -> Line -> Move -> Line -> Move -> Pen -> Move -> Pen -> Move -> Pen -> Line -> Pen -> Brush -> Pen -> Blur,3D Mockups,Expert,Young,,Male,,,,UK,,,,Pen,Line,Move,710,331,267
Brighten Eyes+Action-Advanced Photoshop Tutorial,Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Crop -> Blur -> Line -> Blur -> Pen -> Line -> Pen -> Blur -> Note -> Blur -> Note -> Blur -> Brush -> Blur -> Burn -> Blur -> Pen -> Blur -> Pen -> Gradient -> Dodge -> Gradient -> Move -> Gradient -> Move -> Gradient -> Dodge -> Gradient -> Dodge -> Gradient,Retouching,Intermediate,Young,6/1/2018,Male,4.0,318.0,10.0,US,https://www.youtube.com/watch?v=UwUBXPhCXIY&list=PLIke35aX3K3nqejLcs6ZoajItv3BkrKsz&index=2,,,Blur,Gradient,Brush,204,196,78
